scan_name,scan_condition,plate,incubation_start,incubation_end
1781,none,1,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,2,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,3,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,4,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,5,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,6,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,7,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,8,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,9,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,10,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,11,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,12,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,13,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,14,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,15,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
1781,none,16,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,1,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,2,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,3,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,4,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,5,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,6,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,7,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,8,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,9,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,10,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,11,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,12,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,13,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,14,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,15,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AIM25,none,16,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,1,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,2,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,3,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,4,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,5,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,6,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,7,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,8,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,9,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,10,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,11,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,12,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,13,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,14,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,15,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
AKR2,none,16,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,1,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,2,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,3,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,4,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,5,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,6,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,7,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,8,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,9,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,10,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,11,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,12,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,13,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,14,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,15,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
BUR6,none,16,2012-07-25 12:00:00 EDT,2012-07-27 12:00:00 EDT
